Masjid,07:54,,07:59,08:03,08:07,,08:11,08:15
Sandhurst Road,07:57,,08:02,08:06,08:10,,08:14,08:18
Dockyard Road,07:59,,08:04,08:08,08:12,,08:16,08:20
Reay Road,08:01,,08:06,08:10,08:14,,08:18,08:22
Cotton Green,08:03,,08:08,08:12,08:16,,08:20,08:24
Sewri,08:06,,08:11,08:15,08:19,,08:23,08:27
Vadala Road,08:09,08:10,08:14,08:18,08:22,08:22,08:26,08:30
King's Circle,08:13,08:00,,,08:26,,,
Mahim Jn,08:16,07:57,,,08:29,,,
Bandra,08:20,07:54,,,08:33,,,
Khar Road,,07:51,,,08:37,,,
Santacruz,,07:48,,,08:40,,,
Vileparle,,07:45,,,08:43,,,
Andheri,,07:41,,,08:47,,,
Jogeshwari,,07:37,,,08:51,,,
Ram Mandir,,07:34,,,08:54,,,
Goregaon,,07:30,,,08:58,,,
GTB Nagar,,08:15,08:19,08:23,,08:27,08:31,08:35
Chunabhatti,,08:18,08:22,08:26,,08:30,08:34,08:38
Kurla,,08:21,08:25,08:29,,08:33,08:37,08:41
Tilaknagar,,08:24,08:28,08:32,,08:36,08:40,08:44
Chembur,,08:26,08:30,08:34,,08:38,08:42,08:46
Govandi,,08:29,08:33,08:37,,08:41,08:45,08:49
Mankhurd,,08:32,08:36,08:40,,08:45,08:49,08:53
Vashi,,08:41,08:45,08:49,,08:54,08:58,09:02
Sanpada,,08:43,08:47,08:51,,08:56,09:00,
Juinagar,,08:46,08:50,08:54,,08:59,09:03,
Nerul,,08:50,08:54,08:58,,09:03,09:07,
Seawood Darave,,08:53,08:57,09:01,,09:06,09:10,
Belapur CBD,,08:57,09:01,09:05,,09:11,09:14,
Kharghar,,09:01,09:05,09:09,,,09:18,
Mansarovar,,09:04,09:08,09:12,,,09:21,
Khandeshwar,,09:07,09:11,09:15,,,09:24,
Panvel,,09:12,09:16,09:20,,,09:29,
,,,,,,,,
Train No.,98817,98059,98315,98061,98905,98819,98063,
CSMT,08:16,,08:20,08:24,,08:29,08:33,
Masjid,08:19,,08:23,08:27,,08:32,08:36,
Sandhurst Road,08:22,,08:26,08:30,,08:35,08:39,
Dockyard Road,08:24,,08:28,08:32,,08:37,08:41,
Reay Road,08:26,,08:30,08:34,,08:39,08:43,
Cotton Green,08:28,,08:32,08:36,,08:41,08:45,
Sewri,08:31,,08:35,08:39,,08:44,08:48,
Vadala Road,08:34,08:34,08:38,08:42,08:45,08:48,08:52,
King's Circle,08:38,,,,08:50,08:53,,
Mahim Jn,08:41,,,,08:53,08:56,,
Bandra,08:45,,,,08:57,09:00,,
Khar Road,,,,,09:01,,,
Santacruz,,,,,09:04,,,
Vileparle,,,,,09:07,,,
Andheri,,,,,09:11,,,
Jogeshwari,,,,,09:15,,,
Ram Mandir,,,,,09:18,,,
Goregaon,,,,,09:22,,,
GTB Nagar,,08:39,08:43,08:47,08:34,,08:57,
Chunabhatti,,08:42,08:46,08:50,08:31,,09:00,
Kurla,,08:45,08:49,08:53,08:28,,09:03,
Tilaknagar,,08:48,08:52,08:56,08:25,,09:06,
Chembur,,08:50,08:54,08:58,08:22,,09:08,
Govandi,,08:53,08:57,09:01,08:20,,09:11,
Mankhurd,,08:56,09:00,09:04,08:17,,09:14,
Vashi,,09:05,09:09,09:13,08:09,,09:23,
Sanpada,,09:07,09:11,09:15,08:07,,09:25,
Juinagar,,09:10,09:14,09:18,08:04,,09:28,
Nerul,,09:14,09:18,09:22,08:01,,09:32,
Seawood Darave,,09:18,09:22,09:26,07:58,,09:35,
Belapur CBD,,09:22,09:26,09:30,07:54,,09:39,
Kharghar,,09:26,,09:34,07:50,,09:43,
Mansarovar,,09:29,,09:37,07:47,,09:46,
Khandeshwar,,09:32,,09:40,07:44,,09:49,
Panvel,,09:37,,09:45,07:39,,09:54,
,,,,,,,,
Train No.,98605,98721,98507,98065,98821,98067,98317,
CSMT,08:37,08:42,08:46,,08:50,08:54,08:58,
Masjid,08:40,08:45,08:49,,08:53,08:57,09:01,
Sandhurst Road,08:43,08:48,08:52,,08:56,09:00,09:04,
Dockyard Road,08:45,08:50,08:54,,08:58,09:02,09:06,
Reay Road,08:47,08:52,08:56,,09:00,09:04,09:08,
Cotton Green,08:49,08:54,08:58,,09:02,09:06,09:10,
Sewri,08:52,08:57,09:01,,09:05,09:09,09:13,
Vadala Road,08:55,09:00,09:04,09:08,09:08,09:12,09:16,
King's Circle,,09:04,,,09:12,,,
Mahim Jn,,09:08,,,09:15,,,
Bandra,,09:12,,,09:19,,,
Khar Road,,09:16,,,,,,
Santacruz,,09:19,,,,,,
Vileparle,,09:22,,,,,,
Andheri,,09:26,,,,,,
Jogeshwari,,09:30,,,,,,
Ram Mandir,,09:33,,,,,,
Goregaon,,09:37,,,,,,
GTB Nagar,09:00,,09:09,09:13,,09:17,09:21,
Chunabhatti,09:03,,09:12,09:16,,09:20,09:24,
Kurla,09:06,,09:15,09:19,,09:23,09:27,
Tilaknagar,09:09,,09:18,09:22,,09:26,09:30,
Chembur,09:11,,09:20,09:24,,09:28,09:32,
Govandi,,,09:23,09:27,,09:31,09:35,
Mankhurd,,,09:26,09:30,,09:34,09:38,
Vashi,,,09:35,09:39,,09:43,09:47,
Sanpada,,,,09:41,,09:45,09:49,
Juinagar,,,,09:44,,09:48,09:52,
Nerul,,,,09:48,,09:52,09:56,
Seawood Darave,,,,09:51,,09:55,09:59,
Belapur CBD,,,,09:55,,09:59,10:03,
Kharghar,,,,09:59,,10:03,,
Mansarovar,,,,10:02,,10:06,,
Khandeshwar,,,,10:05,,10:09,,
Panvel,,,,10:10,,10:14,,
